発売日,出版社,シリーズ名・書名,著者,予価,
7,スクウェア・エニックス,ガンガンコミックスUP！後宮も二度目なら　～白豚妃再来伝～（２）,中村颯希（富士見Ｌ文庫／ＫＡＤＯＫＡＷＡ刊）／ＤＯＪＡほか,730,
7,スクウェア・エニックス,ヤングガンガンコミックス地球膨張（１）,よっしゃあっ！／山元ハジメ,730,
12,スクウェア・エニックス,ガンガンコミックス金装のヴェルメイユ　～崖っぷち魔術師は最強の厄災と魔法世界を突き進む～（７）,天那光汰／梅津葉子,730,
12,スクウェア・エニックス,ガンガンコミックスワンルーム、日当たり普通、天使つき。（５）,ｍａｔｏｂａ,730,
12,スクウェア・エニックス,ガンガンコミックスオウルナイト（３）,高津カリノ,750,
12,スクウェア・エニックス,ガンガンコミックスONLINE最凶ヤクザの心の中は意外とやさしい（３・完完）,新島一／左東武之,730,
12,スクウェア・エニックス,ガンガンコミックスONLINE殺されて井戸に捨てられた聖女がチート怨霊になりました（１）,谷尾銀／七清水くらげほか,730,
12,スクウェア・エニックス,ガンガンコミックスONLINE悪役令嬢の執事様　破滅フラグは俺が潰させていただきます（６）,緋色の雨／菖蒲ほか,730,
12,スクウェア・エニックス,ガンガンコミックスONLINE合コンに行ったら女がいなかった話（５）,蒼川なな,730,
12,スクウェア・エニックス,ガンガンコミックスONLINE宮廷のまじない師（３）,顎木あくみ（『宮廷のまじない師』ポプラ文庫ピュアフル刊）／みまわがおほか,730,
12,スクウェア・エニックス,ガンガンコミックスONLINE同居人の佐野くんはただの有能な担当編集です（３）,ウダノゾミ,730,
12,スクウェア・エニックス,ガンガンコミックスONLINE家から逃げ出したい私が、うっかり憧れの大魔法使い様を買ってしまったら（コミック・完３）,琴子／ＴＣＢほか,730,
12,スクウェア・エニックス,ガンガンコミックスONLINE経験済みなキミと、経験ゼロなオレが、お付き合いする話。（３）,長岡マキ子／カルパッチョ野山ほか,730,
12,スクウェア・エニックス,ガンガンコミックスONLINE活弁王子の花嫁さん（２）,島崎無印／はま,730,
12,スクウェア・エニックス,ガンガンコミックスONLINE学園1の美少女は××絵師の俺に惚れている！？（１）,もゆる,730,
12,スクウェア・エニックス,ガンガンコミックスONLINEザコ姫さまは生きのびたい！　～処刑の危機は、姫プレイで乗り切ります～（１）,焦田シューマイ／おみおみほか,730,
21,スクウェア・エニックス,ガンガンコミックスJOKER龍とカメレオン（１）,石山諒,730,
21,スクウェア・エニックス,ガンガンコミックスpixivオタクも恋も連鎖する（１）,天色ちゆ,730,
21,スクウェア・エニックス,ガンガンコミックスpixivショタくんとおじさん（３・完完）,ｔｕｎｒａｌ,1210,
21,スクウェア・エニックス,ガンガンコミックスpixiv休日のわるものさん（５）,森川侑,990,
21,スクウェア・エニックス,ガンガンコミックスpixiv推しが兄になりました（４）,隈浪さえ,860,
25,スクウェア・エニックス,ビッグガンガンコミックス獄卒クラーケン（１）,タカヒロ／戸流ケイ,730,
25,スクウェア・エニックス,ヤングガンガンコミックスデッドマウント・デスプレイ（11）,成田良悟／藤本新太,730,
25,スクウェア・エニックス,ヤングガンガンコミックスMURCIÉLAGO ―ムルシエラゴ―（23）,よしむらかな,730,
25,スクウェア・エニックス,ヤングガンガンコミックス××が嫌いな女子なんかいません！（３・完完）,実倉なる,730,
25,スクウェア・エニックス,ヤングガンガンコミックス回復ローションで魔王を倒すことになった。～異世界びゅるびゅる攻略記～（１）,イガラシユイ,730,
27,スクウェア・エニックス,Gファンタジーコミックスミルクチョコレート（１）,泡沫,730,
27,スクウェア・エニックス,Gファンタジーコミックスアラフォー男の異世界通販生活（６）,朝倉一二三（ツギクルブックス）／やまかわほか,730,
27,スクウェア・エニックス,Gファンタジーコミックス椎奈さんの推し事情（３）,碧くるみ,730,
5,白泉社,花とゆめコミックス塩の街　～自衛隊三部作シリーズ～（３）,弓きいろ／有川ひろ,528,
5,白泉社,花とゆめコミックス偽りのフレイヤ（10）,石原ケイコ,528,
5,白泉社,花とゆめコミックス死に戻り令嬢のルチェッタ（１）,天乃忍,528,
5,白泉社,花とゆめコミックス紺碧のレコンキスタ（１）,恩多志弦,528,
5,白泉社,花とゆめコミックス騎士令嬢はプロポーズを断れない（１）,宝生奈々,528,
5,白泉社,花とゆめコミックス傷痕王子妃は幸せになりたい（２）,ｍａｊｏｃｃｏｉｄ／えとう蜜夏,715,
5,白泉社,花丸コミックス・プレミアム善次くんお借りします（３）,玉川しぇんな,792,
5,白泉社,花丸コミックス・プレミアム君となら恋をしてみても（３）,窪田マル,792,
5,白泉社,花丸コミックス・プレミアムイケボ配信者は俺狙い！？（１）,あぺこ,770,
5,白泉社,白泉社レディースコミックス眠れぬ夜は甘く濡らして（１）,快晴,638,
20,白泉社,花とゆめコミックス墜落JKと廃人教師（16）,ｓｏｒａ,528,
20,白泉社,花とゆめコミックス～贄姫と獣の王　スピンオフ～　白兎と獣の王子（２）,友藤結,528,
20,白泉社,花とゆめコミックス恋はまた今度です,十鳥さる,528,
20,白泉社,花とゆめコミックス悪魔と箱の管理人,朝海いるか,528,
20,白泉社,花とゆめコミックスアウトブライド　―異系婚姻―（６）,月永遠子,594,
28,白泉社,ヤングアニマルコミックスSランクモンスターの《ベヒーモス》だけど、猫と間違われてエルフ娘の騎士（ペット）として暮らしてます（９）,東雲太郎／銀翼のぞみほか,660,
28,白泉社,ヤングアニマルコミックス妖刀に魅入られしスケルトン　～迷宮を支配し、無敵の軍勢を率いる≪最強≫の剣魔王～（３）,鶴岡伸寿／銀翼のぞみ,715,
28,白泉社,ヤングアニマルコミックス数学ゴールデン（５）,藏丸竜彦,715,
28,白泉社,ヤングアニマルコミックスロックは淑女の嗜みでして（１）,福田宏,715,
28,白泉社,ヤングアニマルコミックスラプソディ・イン・レッド（１）,あみだむく,715,
28,白泉社,ヤングアニマルコミックス拷問バイトくんの日常（１）,次見やをら,715,
28,白泉社,ヤングアニマルコミックス魔法少女殲滅兵器　筋肉少女（１）,たま虫あっとに,715,
28,白泉社,ヤングアニマルコミックス魔法中年（３）,灰刃ねむみ／魔木,715,
28,白泉社,ぱらのま（６）,ｋａｓｈｍｉｒ,968,
28,白泉社,制服date（３）,黒咲練導,990,
発売日,出版社,シリーズ名・書名,著者,予価,
7,朝日新聞出版,Nemuki+コミックス,落ちぶれゼウスと奴隷の子（２）　（仮）,尾羊英,715,
20,朝日新聞出版,ソノラマ＋コミックス,あことバンビ（５）,ＨＥＲＯ,1210,
28,茜新社,TENMA COMICS／EDGE COMIX,OPERA（87）　oasis,アンソロジー,998,
14,一迅社,gateauコミックス,ティーチミーファーストラブ,待緒イサミ,847,
14,一迅社,gateauコミックス,チェンジ・ライフ,隈世アキ,825,
14,一迅社,gateauコミックス,デラシネバッドビートラブ,現示コウ,825,
14,一迅社,gateauコミックス,持ちつ持たれつ甘やかされて,家目やこ,825,
14,一迅社,gateauコミックス,シガー・スイート・セックス,かむ,825,
14,一迅社,gateauコミックス,ネオン街の蜘蛛と蝶　小冊子付新装版,滝端,1056,
14,一迅社,gateauコミックス,ネオン街の蜘蛛と蝶　夜　小冊子付,滝端,1078,
18,一迅社,百合姫コミックス,踊り場にスカートが鳴る（３）,うたたね游,858,
18,一迅社,百合姫コミックス,アンドロイドは経験人数に入りますか？？（３）,焼肉定食,814,
18,一迅社,百合姫コミックス,転生したらあかりだけスライムだった件（２）,水鳥なや／なもり,814,
20,一迅社,カラフルハピネス,優しいあなたを守る方法（１）,Ｋｉｍ　Ｊｉｅｉ／Ｈａｎ　ｙｕｊｅｏｎｇほか,1089,
25,一迅社,comic LAKE,ウィッチ・ハンド・クラフト　～追放された王女ですが雑貨屋さん始めました～（２）,おちゃ芥／富士伸太ほか,759,
25,一迅社,comic POOL,友達の姉ちゃんに恋した話（１）,あずさきな,825,
25,一迅社,comic POOL,姉ちゃんの友達がうざい話（１）,あずさきな,825,
25,一迅社,comic POOL,恋する（おとめ）の作り方（６）,万丈梓,803,
25,一迅社,comic POOL,さよなら嘘つき人魚姫（１）,杏堂まい／汐見夏衛,748,
25,一迅社,comic POOL,正反対なわたしたち（１）,夏奈ほの,770,
25,一迅社,DNAメディアコミックス,プロジェクトセカイ　カラフルステージ！　feat.初音ミク　コミックアンソロジー（２）,アンソロジー,880,
25,一迅社,ZERO-SUMコミックス,箱庭のマグリス,十槻みか,847,
25,一迅社,ZERO-SUMコミックス,兄だったモノ（１）,マツダミノル,814,
25,一迅社,ZERO-SUMコミックス,兄だったモノ（２）,マツダミノル,814,
25,一迅社,ZERO-SUMコミックス,DEEMO ―Sakura Note―,庭春樹／藤咲淳一ほか,990,
25,一迅社,ベビードールCOMICS,絶倫従属のHすぎるご奉仕に溶かされちゃうアンソロジー（仮）,アンソロジー,935,
25,一迅社,センシティブ・ボーイ（１）,46,748,
27,一迅社,REXコミックス,新装版　政宗くんのリベンジ（１）,竹岡葉月／Ｔｉｖ,1320,
27,一迅社,REXコミックス,新装版　政宗くんのリベンジ（２）,竹岡葉月／Ｔｉｖ,1320,
27,一迅社,REXコミックス,アークナイツ　ロドスキッチン　―TIDBITS―（上）,馬かのこ／ＨＹＰＥＲＧＲＹＰＨ,935,
27,一迅社,REXコミックス,アークナイツ　ロドスキッチン　―TIDBITS―（下）,馬かのこ／ＨＹＰＥＲＧＲＹＰＨ,935,
27,一迅社,REXコミックス,ドールズフロントライン　人形之歌（７）,上海散爆網絡科技有限公司／Ｌｉｎｇ,748,
28,一迅社,LOVEBITESコミックス,花守ヤクザと花散らしの甘い罪（１）,香葉ソウ,836,
28,一迅社,LOVEBITESコミックス,結婚後、私を一度も抱かなかった夫に淫紋が！？（１）,小中いえやす／踊る毒林檎,836,
28,一迅社,LOVEBITESコミックス,30kg分の愛、うけとってください！,七ツ園,880,
28,一迅社,ZERO-SUMコミックス,貧乏男爵令嬢の領地改革～皇太子妃争いはごめんこうむります～（１）,よねやませつこ／富士とまとほか,814,
28,一迅社,ZERO-SUMコミックス,魔法使いの婚約者　～Eternally Yours～（３）,はいいろ／中村朱里ほか,847,
28,一迅社,ZERO-SUMコミックス,中ボス令嬢は、退場後の人生を謳歌する（予定）。（１）,ｎｉｓｈｉ／こるほか,814,
28,一迅社,ZERO-SUMコミックス,嫌われ妻は、英雄将軍と離婚したい！　いきなり帰ってきて溺愛なんて信じません。（１）,コヤマナユ／柊一葉ほか,814,
28,一迅社,ZERO-SUMコミックス,聖猫の癒やし係～役立たずと言われましたが、もふもふ聖猫を癒やす力に目覚めました～,ミヤカミヨロズ,814,
28,一迅社,ZERO-SUMコミックス,死に戻り令嬢は、完璧な幸せを手に入れた　アンソロジーコミック（２）,アンソロジー,880,
28,一迅社,ZERO-SUMコミックス,偽聖女だと言われましたが、どうやら私が本物のようですよ？　アンソロジーコミック,アンソロジー,880,
27,インテルフィン,PriaLコミック,放送禁止の私生活,ろくろこ,760,
12,イースト・プレス,ダンピアのおいしい冒険（５）,トマトスープ,977,
19,イースト・プレス,Splushコミックス,初恋の幼なじみとセフレになりました（仮）,谷アニタ,770,
19,イースト・プレス,Splushコミックス,腹黒天使はネコ耳王子と恋に落ちるか（仮）,森嶋ペコ／小中大豆ほか,792,
19,イースト・プレス,アリアの診療録（１・完仮）,Ｓｕｅ　Ｌｕｅ,880,
14,オーバーラップ,クリエコミックス,ひとりぼっちの吸血乙女が溺愛軍人様に拾われまして。（１）,桃井すみれ,未定,
14,オーバーラップ,クリエコミックス,いじわるなのに、嫌なのに（２）,朱野りりん,未定,
14,オーバーラップ,クリエコミックス,教卓越しの片想い（２）,十嶋あわこ,未定,
14,オーバーラップ,ラブパルフェコミックス,迷彩服を脱いだらケダモノ　～絶倫自衛官に溺愛されて困ってます～,黒柴パン,未定,
14,オーバーラップ,リキューレコミックス,傷あとにくちづけ　sweet time,あまきいお,未定,
25,オーバーラップ,ガルドコミックス,行き着く先は勇者か魔王か　元・廃プレイヤーが征く異世界攻略記（１）,輔艮／ニトほか,未定,
25,オーバーラップ,ガルドコミックス,現代社会で乙女ゲームの悪役令嬢をするのはちょっと大変（１）,デェタ／二日市とふろうほか,未定,
25,オーバーラップ,ガルドコミックス,ネトゲの嫁が人気アイドルだった（１）　～クール系の彼女は現実でも嫁のつもりでいる～,もっつぉ／あボーンほか,未定,
25,オーバーラップ,ガルドコミックス,犬と勇者は飾らない（２）,波多ヒロ／あまなっとうほか,未定,
25,オーバーラップ,ガルドコミックス,俺は星間国家の悪徳領主！（４）,灘島かい／三嶋与夢ほか,未定,
25,オーバーラップ,ガルドコミックス,底辺領主の勘違い英雄譚（８）,ぱらボら／馬路まんじほか,未定,
25,オーバーラップ,ガルドコミックス,魔王様の街づくり！　～最強のダンジョンは近代都市～（９）,吉川英朗／月夜涙,未定,
25,オーバーラップ,ガルドコミックス,現実主義勇者の王国再建記（10）,上田悟司／どぜう丸ほか,未定,
25,オーバーラップ,ガルドコミックス,最果てのパラディン（11）,奥橋睦／柳野かなたほか,未定,
25,オーバーラップ,ガルドコミックス,亡霊魔道士の拾い上げ花嫁（３）,藤谷一帆／瀬尾優梨ほか,未定,
27,オークラ出版,enigma comics,不幸男子拾いました,志尾崎ナロウ,840,
10,宙出版,ASTRO COMICS,俺の美女化が止まらない！？（１）,愛染マナ,726,
10,宙出版,ASTRO COMICS,吸血鬼伯爵は美少年メイドに踏まれたい（１）,櫻日和鮎実,693,
10,宙出版,ASTRO COMICS,その恋は世界滅亡へのカウントダウンです！～月魔女様はループする～（１）,埜莵ありす,693,
17,宙出版,ミッシィコミックス　YLC Collection,幸せの青い鳥,山口ねね,748,
17,宙出版,ミッシィコミックス　YLC Collection,純情警官（※ただしケダモノ）と偽装結婚！？,芳村かなみ,726,
17,宙出版,ミッシィコミックス　YLC DX Collection,追放魔女はハラペコ悪魔を飼い慣らす,埜莵ありす,726,
25,笠倉出版社,カルトコミックス　equal collection,アイラブユー・アイラフユー,昼夜いす,869,
10,海王社,GUSH COMICS,ナカまであいして（３）,百瀬あん,798,
10,海王社,GUSH COMICS,一ノ瀬先生はシたことがない,縁々,820,
10,海王社,GUSH COMICS,魔王の貞操、危機一髪★～1,000年の眠りから覚めたら、世界がエロコンテンツ化してました！～,都みめこ,798,
10,海王社,GUSH COMICS,ライカン―黒狼子爵に囚われた貴族―（２）,山本ティナ,864,
20,海王社,＆.Emo comics,髪と罅,７区,820,
20,海王社,＆.Emo comics,ソムニア,冥花すゐ,798,
7,キルタイムコミュニケーション,ヴァルキリーコミックス,VRエロゲーやってたら異世界に転生したので、美少女魔王を奴隷化する　～クロスアウト・セイバー～（２）,ＴＡＫＴＯ／仁科朝丸,693,
7,キルタイムコミュニケーション,ヴァルキリーコミックス,人妻とJK（３）,焼肉定食,693,
7,キルタイムコミュニケーション,ヴァルキリーコミックス,ゲーマーが異世界魂転してハーレム人生へコンティニューするそうです　THE COMIC（１）,零覇／ｅｔｏｓｅ,693,
14,キルタイムコミュニケーション,ブリーゼコミックス,トゥットでアペロ　～派遣切りOLが異世界で小料理屋はじめました～（２）,菊屋きく子,750,
17,キルタイムコミュニケーション,スリーズロゼコミックス,灯を待つ海にクジラ,夜人,770,
24,幻冬舎コミックス発行／幻冬舎発売,バーズコミックス,ネバーエンディング・ウィークエンド（１）,座紀光倫,748,
24,幻冬舎コミックス発行／幻冬舎発売,バーズコミックス,ただの飯フレです（１）,さのさくら,737,
24,幻冬舎コミックス発行／幻冬舎発売,バーズコミックス,ぼっち自衛官の異世界奮戦記（３）,舳江爽快／高舛ナヲキほか,715,
24,幻冬舎コミックス発行／幻冬舎発売,バーズコミックス,すべっちゃいけない芸人ごはん（仮）,ヒデ／鈴木マサカズ,737,
24,幻冬舎コミックス発行／幻冬舎発売,バーズコミックス　スピカコレクション,バリエ　ガーデン（６）,木々,770,
24,幻冬舎コミックス発行／幻冬舎発売,バーズコミックス　ラブキスボーイズコレクション,どっちとキスする？,風呂前有,770,
24,幻冬舎コミックス発行／幻冬舎発売,バーズコミックス　リンクスコレクション,溺愛アクマに憑かれて甘くとろけた俺の人生,白コトラ,792,
24,幻冬舎コミックス発行／幻冬舎発売,バーズコミックス　ルチルコレクション,指先、体温、とける距離,ＩＳＩＫＩ,792,
3,コアマガジン,drapCDX,幼なじみと恋,園瀬もち,842,
25,コアマガジン,drapCDX,チェンジ　ドロップ,藤咲ねねば,831,
25,コアマガジン,drapCDX,フェロウメロウ（２）,ゆいつ,820,
25,コアマガジン,テコンダー朴（９）,山戸大輔／白正男,1030,
7,コアミックス,ゼノンコミックス,異世界から勇者を召喚したら猫でした（３・完完）,楠木ひかる,704,
7,コアミックス,ゼノンコミックス,ワルハラ　電脳自衛隊　MMORPGへ進軍す（３・完完）,柳内たくみ／矢神翔ほか,704,
7,コアミックス,ゼノンコミックス,かみがみ～最も弱き反逆者、異世界チート勇者を討つ～（４・完完）,真上犬太／松林佑ほか,704,
7,コアミックス,ゼノンコミックス,明かせぬ正体　最強の糸使いは復讐の死神になる（４）,ポルカ／クロノヤミほか,704,
20,コアミックス,ゼノンコミックス,アンサングシンデレラ　病院薬剤師　葵みどり（10）,荒井ママレ／富野浩充,726,
20,コアミックス,ゼノンコミックス,トレース　科捜研法医研究員の追想（13・完完）,古賀慶,726,
20,コアミックス,ゼノンコミックス,北斗の拳外伝　天才アミバの異世界覇王伝説（４）,武論尊／原哲夫ほか,726,
20,コアミックス,ゼノンコミックス,ヴィランアクター（２）,原田ケンタロー／瀬戸ミクモ,726,
20,コアミックス,ゼノンコミックス,さるまね（３）,吉田薫,704,
20,コアミックス,ゼノンコミックス,豚の復讐（５）,黒田高祥／仁藤砂雨,726,
20,コアミックス,ゼノンコミックス　BD,あおのたつき（９）,安達智,748,
5,メディアソフト発行／三交社発売,Lovequiche Comics,リアルHは妄想の100倍すごい…！？溺愛王子×むっつり処女の性事情（仮）,藤成ゆうき,770,
7,メディアソフト発行／三交社発売,Comic Piatto,僕とおとうとのハラルご飯,山本三筋,737,
10,英和出版社発行／三交社発売,デイジーコミックス,だってかわいいアンタが悪い。～先輩、大変よくできました～,園瀬もち,825,
21,三交社,KiRcomics,暴愛フレンドシップ　新装版,ずんだ餅粉,760,
21,三交社,ピンクシェリーコミックス,ツレない柳田さんと色恋がシたいです。～イケメン教育係の豹変に要注意！？～,夏都みや,730,
28,メディアソフト発行／三交社発売,Charles Comics,俺だけの専属アルファ（２）,星倉ぞぞ,759,
28,メディアソフト発行／三交社発売,Charles Comics,ヒプノティック・アイズ（仮）,芥,770,
28,メディアソフト発行／三交社発売,Charles Comics,俺の推しは“神様”です！？,冬至冬,770,
1,ジーオーティー,MeDu COMICS,私たちは元女子です（１）,咲次朗,770,
1,ジーオーティー,MeDu COMICS,ハネムーン　イン　ヘルランド（２）,杉山惇氏,770,
1,ジーオーティー,MeDu COMICS,突発的クリエイトファミリー（１）,玉置勉強,836,
1,ジーオーティー,MeDu COMICS,東京入星管理局（４）,窓口基,770,
14,ジーオーティー,MeDu COMICS,すずめくんの声（１）,路田行,770,
14,ジーオーティー,MeDu COMICS,天使の牧場　match作品集（２）,ｍａｔｃｈ,880,
26,ジーオーティー,picn comics,スキャンダルなんて想定外,久松エイト,847,
28,ジーオーティー,Bivy comic,とろけるまで奥まで突いて,灰庭ソウスケ,814,
28,ジーオーティー,MeDu COMICS,武狂争覇（３）,藤異秀明,880,
28,ジーオーティー,MeDu COMICS,ラブスレイヴ（３）,水龍敬,748,
28,ジーオーティー,MeDu COMICS,軟骨さん,佐藤達木,1650,
7,主婦と生活社,PASH！コミックス,エノク第二部隊のはらぺこ遠征ごはん（５）,武シノブ／江本マシメサほか,715,
7,主婦と生活社,PASH！コミックス,アラサーのオレは別世界線に逆行再生したらしい（２）,ゆうきそにすけ／翠川稜ほか,715,
7,主婦と生活社,PASH！コミックス,異郷の爪塗り見習い（２）,まるかわ,715,
7,主婦と生活社,PASH！コミックス,婚約破棄された令嬢を拾った俺が、イケナイことを教え込む～美味しいものを食べさせておしゃれをさせて、世界一幸せな少女にプロデュース！～（６）,桂イチホ／ふか田さめたろうほか,693,
7,主婦と生活社,PASH！コミックス,メリー・ウィッチーズ・ライフ　～ベルルバジルの3人の未亡人～（１）,メノタ,715,
7,主婦と生活社,PASH！コミックス,マスケットガールズ！～転生参謀と戦列乙女たち～（１）,飛鳥あると／漂月ほか,715,
7,主婦と生活社,PASH！コミックス,SWEET DEAL（スウィートディール・完１）,鍋谷咲花／不動産Ｇメン滝島,770,
4,少年画報社,YKコミックス,異世界狙撃手は女戦士のモフモフ愛玩動物（６）,いのまる,759,
4,少年画報社,YKコミックス,人類存亡コクピットガールズ（２）,塩野干支郎次,759,
4,少年画報社,YKコミックス,アオバ自転車店と行こうよ！（11）,宮尾岳,759,
4,少年画報社,にゃんCOMI,特選ねこじぞう　悲しみ越えのヒントが見つかる。,池田さとみ,630,
10,少年画報社,YKコミックス,僕×スター（６）,肥谷圭介,869,
10,少年画報社,YKコミックス,けろよい！新潟弁酒場,花見沢Ｑ太郎,759,
10,少年画報社,YKコミックス,ゾンビだらけのこの世界ではセックスしないと生き残れない（５・完完）,実倉なる,759,
10,少年画報社,にゃんCOMI,ねこぱんち　祝200記念号,アンソロジー,625,
10,少年画報社,ねこぱんちコミックス,死神猫のジズは情け深い（２）,北見明子,869,
10,少年画報社,思い出食堂コミックス,夫婦めし（２・完完）,香川まさひと／木村直巳,924,
17,少年画報社,YKコミックス,恋するパンティストッキング（３・完完）,ウシハシル,759,
17,少年画報社,YKコミックス,柊部長のパンストライン（１）,ウシハシル,759,
17,少年画報社,YKコミックス,銀河配送スターライトエクスプレス（１）,ユウキレイ,759,
17,少年画報社,YKコミックス,ノブレス・オブリージュ　 ～転生しても「好き」が言えない～（２・完完）,榛名ハル,979,
17,少年画報社,YKコミックス,アイドルの推しおさめ（１）,山本まくや,759,
17,少年画報社,YKコミックス,ボスとヤス（３）,さいのすけ,759,
17,少年画報社,思い出食堂コミックス,はらペコ放浪記　画家修業しながら女子ひとり旅中です。（１）,上野キミコ,759,
24,少年画報社,YKコミックス,学校の推せる怪談（３・完完）,井上とさず,950,
24,少年画報社,YKコミックス,株式会社　神かくし（３）,片山陽介,759,
24,少年画報社,YKコミックス,追放された錬金術師さん、最強のダンジョンを創りませんか？（５）,未来人Ａ／三登いつきほか,759,
24,少年画報社,YKコミックス,桐切蛍の嫌いな食べもの（３・完完）,木綿八十子,950,
24,少年画報社,YKコミックス,シリアルキラー異世界に降り立つ（２）,一粒苺／ヒロ,759,
24,少年画報社,YKコミックス,猿ロック　REBOOT（７）,芹沢直樹,759,
28,少年画報社,YKコミックス,ナポレオン～覇道進撃～（24）,長谷川哲也,759,
28,少年画報社,YKコミックス,影姫　―KAGEHIME―（２）,近藤るるる,759,
28,少年画報社,YKコミックス,犬神は祈らない（１）,白石純,759,
28,少年画報社,YKコミックス,パラレルリープ・シンドローム（１）,タカハシノブユキ,759,
28,少年画報社,YKコミックス,新装版　左様なら今晩は,山本中学,1320,
28,少年画報社,YKコミックス,みそララ＋（５）,宮原るり,759,
28,少年画報社,YKコミックス,みそララ＋（６）,宮原るり,759,
28,少年画報社,思い出食堂コミックス,新藤さんと山吹くん　明日は外でメシ食おう！（２）,鷲尾美枝,759,
28,少年画報社,思い出食堂コミックス,至極のお弁当（２）,佐々木善章,759,
28,少年画報社,思い出食堂コミックス,魚共村奇譚（１）,つるんづマリー,759,
1,新書館,ディアプラス・コミックス,セラピーゲーム　リスタート（３）,日ノ原巡,759,
1,新書館,ディアプラス・コミックス,この恋はきっと、甘すぎる,夏村げっし,792,
1,新書館,ディアプラス・コミックス,可哀想な君は僕だけの甘やかな傷,千野ち,759,
1,新書館,ディアプラス・コミックス,泉くんのサディスティックは終わっている,藤峰式,759,
下,新書館,ウィングス・コミックス,不条理雑貨店UNREAL（１）,片山愁／ヨダカケイ,770,
下,新書館,ウィングス・コミックス,熱帯デラシネ宝飾店（６）,夏目イサク／嬉野君,825,
18,ジュネット,ジュネットコミックス／ピアスシリーズ,サハラの幸福者（１）,五月女えむ,770,
18,ジュネット,ジュネットコミックス／ピアスシリーズ,オメガポルノ　case.雫月,広里かな,770,
18,ジュネット,ジュネットコミックス／ピアスシリーズ,鬼畜極道、ヤバすぎる溺愛。（１）,チョコミント,770,
7,新潮社,バンチコミックス,宮廷魔導師見習いを辞めて、魔法アイテム職人になります（１）,ＥＤＯ／神泉せいほか,726,
7,新潮社,バンチコミックス,＃真相をお話しします（１）,もりとおる／結城真一郎,726,
7,新潮社,バンチコミックス,無能認定で冒険者クビになったから地元に帰って結婚する（１）　～結婚相手が世界を滅ぼしかけた龍王の娘で俺の能力が覚醒した～,ＹＵＩ／響恭也ほか,748,
7,新潮社,バンチコミックス,保護者怪人ジェノサイバー（２・完完）,シミズヒロノリ,726,
7,新潮社,バンチコミックス,妄想先生（２）,ゆずチリ,726,
7,新潮社,バンチコミックス,ディノサン（４）,木下いたる／藤原慎一,726,
7,新潮社,バンチコミックス,オオカミ部下くんとヒツジ上司さん（４）,清水しの,726,
7,新潮社,バンチコミックス,売国機関（８）,品佳直／カルロ・ゼン,748,
7,新潮社,バンチコミックス,働かないふたり（28）,吉田覚,616,
20,実業之日本社,ジャルダンコミックス,弱小ソシャゲ部の僕らが神ゲーを作るまで（２）,紙木織々／澄田佑貴ほか,792,
1,ジャイブ,ネクストFコミックス,暴君ヴァーデルの花嫁　蜜月編（４）,松本帆加,681,
5,小学館クリエイティブ,ヒーローズコミックス,缶コーヒーの女神（２）,根岸岳春,792,
11,小学館クリエイティブ,donna COMICS,嫁入りのススメ（３）　大正御曹司の強引な求婚,福嶋ユッカ,770,
14,小学館クリエイティブ,ヒーローズコミックス　ふらっと,虫葬りの巫女（３）,日下直子,792,
28,小学館クリエイティブ,ヒーローズコミックス,機動絶記ガンダムSEQUEL（２）,井上敏樹／千明太郎ほか,792,
7,祥伝社,Fcswing,やわ男とカタ子（８）,長田亜弓,836,
7,祥伝社,フィールコミックス,こむぎびよりのコッペパン（３）,魚田南,858,
25,祥伝社,Fcswing,やがて明日に至る蝉,ひの宙子,836,
25,祥伝社,オンブルーコミックス,ディア・マイ・ヴァンパイア,渡辺馨,858,
25,祥伝社,オンブルーコミックス,ラブソングが終わるまで,松岡よろ,836,
25,祥伝社,オンブルーコミックス,onBLUE（64）,時羽兼成,1000,
25,祥伝社,ひめ恋selection,絶対イかされるエロトラップダンジョン（１）　孤高の剣士様と私の冒険記,ＥＮＶＹ,770,
27,スターツ出版,ベリーズファンタジーコミックス,転生侍女の知恵袋～“自称”人並み会社員でしたが、前世の知識で華麗にお仕えいたします！～（１）,Ｅｍｉ＋／江本マシメサ,715,
27,スターツ出版,ベリーズファンタジーコミックス,平凡な私の獣騎士団もふもふライフ（４）,藍澤さつき／百門一新,715,
27,スターツ出版,ベリーズファンタジーコミックス,メイドに転生したら、うっかり竜王様の胃袋掴んじゃいました　～元ポンコツOLは最強料理人！？～（２）,アズマミドリ／徒然花,715,
27,スターツ出版,ベリーズファンタジーコミックス,転生令嬢はまるっとすべてお見通し！～婚約破棄されたら、チートが開花したようです～（３）,貴里みち／瑞希ちこ,715,
20,青泉社,LGAコミックス,江口鉄平の事件簿～アンラッキーディ～,大政喜美子,858,
25,秋水社発行／青泉社発売,秋水デジタルコミックス／BLシリーズ,憑いた狐神様が離してくれません,砂,770,
25,秋水社発行／青泉社発売,秋水デジタルコミックス／BLシリーズ,シンデレラフィット,みえちかつ,770,
25,秋水社発行／青泉社発売,秋水デジタルコミックス／BLシリーズ,欲望Switch　担任×問題児Dom/Subシリーズ（２）,彩田あまた,770,
25,秋水社発行／青泉社発売,秋水デジタルコミックス／YLシリーズ,授か離婚（４）　～一刻も早く身籠って、私から解放してさしあげます！,かんべあきら／長野雪,770,
5,アルファポリス発行／星雲社発売,アンダルシュCOMICS,スモーキーブルーシアター,天ノ川子,748,
