発売日,出版社,シリーズ名・書名,著者,予価,
7,KADOKAWA,ドラゴンコミックスエイジハニートラップ・シェアハウス（３）,久慈マサムネ／神月洸壱,未定,
7,KADOKAWA,ドラゴンコミックスエイジ黄昏のアサイラム（１）　―超常存在収容課―,一森湧水,未定,
7,KADOKAWA,単行本コミックス摂理狂神大戦　ヴァンパイアミスト（２）,赤人義一,未定,
7,KADOKAWA,単行本コミックスラブライブ！スクールアイドルフェスティバルALL STARS イベントメモリー,矢立肇／公野櫻子ほか,未定,
7,KADOKAWA,単行本コミックスブルーブロッサム（２）,かぜぱな,未定,
7,KADOKAWA,単行本コミックスブルーブロッサム（３）,かぜぱな,未定,
10,KADOKAWA,角川コミックス・エーススキルがなければレベルを上げる（６）　～99がカンストの世界でレベル800万からスタート～,岡沢六十四／倉橋ユウス,未定,
10,KADOKAWA,角川コミックス・エース年上エリート女騎士が僕の前でだけ可愛い（５）,たかた／吉野宗助ほか,未定,
10,KADOKAWA,角川コミックス・エース村づくりゲームのNPCが生身の人間としか思えない（６）,森田和彦／昼熊ほか,未定,
10,KADOKAWA,角川コミックス・エース黒い魔女と白い聖女の狭間で　 ～アラサー魔女、聖女になる！（１）,柴飼ぽんちょ／朝倉一二三,未定,
10,KADOKAWA,角川コミックス・エース悪役令嬢なのに、婚約破棄されて溺愛ハッピーエンド！　異世界恋愛ショートストーリーズ,木村琴々／三羽高明,未定,
10,KADOKAWA,角川コミックス・エース彼岸のオルカ（１）,ＳＴＵＤＩＯ　ｋｏｅｍｅｅ／うごんば,未定,
12,KADOKAWA,ビームコミックスくちべた食堂（３）,梵辛,未定,
12,KADOKAWA,ビームコミックスアン・グラ,丸尾末広,未定,
12,KADOKAWA,ビームコミックス王様ランキング（16）,十日草輔,未定,
13,KADOKAWA,MFC異世界の主役は我々だ！（12）,加茂ユウジ／グルッペン・フューラーほか,未定,
13,KADOKAWA,MFCヘルドクターくられの科学はすべてを解決する！！（10）,加茂ユウジ／くられほか,未定,
14,KADOKAWA,B’s-LOVEY COMICSばらとたんぽぽ続（上）,遠浅よるべ,未定,
14,KADOKAWA,B’s-LOVEY COMICSばらとたんぽぽ続（下）,遠浅よるべ,未定,
14,KADOKAWA,ハルタコミックス峠鬼（６）,鶴淵けんじ,未定,
14,KADOKAWA,ハルタコミックスウスズミの果て（１）,岩宗治生,未定,
14,KADOKAWA,ハルタコミックスハルタ　2023-APRIL volume 103,ハルタ編集部,未定,
14,KADOKAWA,ハルタコミックス八百万黒猫速報（１）,浅井海奈,未定,
14,KADOKAWA,ハルタコミックスことり文書（３）,天野実樹,未定,
14,KADOKAWA,ハルタコミックスmeth・e・meth 完全版,鶴淵けんじ,未定,
14,KADOKAWA,ハルタコミックス透明人間そとに出る,路田行,未定,
14,KADOKAWA,単行本コミックス細村さんと猫のおつまみ（２）,高田サンコ,未定,
17,KADOKAWA,PommeComics異世界でエルフになりましたが皇帝陛下の甘やかしえっちが止まりません！（３）,兎宮卯紗,未定,
17,KADOKAWA,PommeComics異世界で絶倫魔導師に買われたらメチャクチャ溺愛されています。（２）,宴／仙崎ひとみ,未定,
17,KADOKAWA,フルールコミックス淫らなASMRで焦らされたい,安部心春,未定,
17,KADOKAWA,フロース　コミック冷酷皇帝は人質王女を溺愛中（１）　なぜかぬいぐるみになって抱かれています,あのねノネ／奏舞音ほか,715,
17,KADOKAWA,フロース　コミック婚約破棄された公爵令嬢は森に引き籠ります　黒のグリモワールと呪われた魔女（３）,西山アラタ／春野こももほか,未定,
20,KADOKAWA,青騎士コミックス針と羊の舟（１）,幌琴似,未定,
20,KADOKAWA,青騎士コミックス鎮護庁祓竜局誓約課（１）,鵜山はじめ,未定,
20,KADOKAWA,青騎士コミックス宝石商のヒストリティカ（２）,佐々木つかさ,未定,
20,KADOKAWA,単行本コミックスアサルトリリィ　League of Gardens ―full bloom―（４）,月並甲介／阿羅本景ほか,未定,
20,KADOKAWA,単行本コミックスアサルトリリィ　League of Gardens ―full bloom―（５）,月並甲介／阿羅本景ほか,未定,
21,KADOKAWA,MFC見える子ちゃん（９）,泉朝樹,未定,
21,KADOKAWA,MFC天才漫画家のサトウさん、恋愛については無能です（１）,ポンキチ／丸丸子ほか,未定,
21,KADOKAWA,MFCてのひら開拓村で異世界建国記～増えてく嫁たちとのんびり無人島ライフ～（７）,ヤツタガナクト／星崎崑ほか,未定,
21,KADOKAWA,MFC幽霊はどこへ？（１）,韋離若明,未定,
21,KADOKAWA,MFC失格王子の成り上がり冒険譚（４）,天上涼太郎／未来人Ａほか,未定,
21,KADOKAWA,MFC女装じいさんと男装ばあさん（３）,カワバタバタコ,未定,
21,KADOKAWA,MFC山田くんとLv999の恋をする（７）,ましろ,未定,
21,KADOKAWA,MFC高音さんと嵐ちゃん,なうち,未定,
21,KADOKAWA,MFCにんげんに恋する死神ちゃん,ミト,未定,
21,KADOKAWA,MFCドミナント（２）,五十嵐純,未定,
21,KADOKAWA,MFコミックス　アライブシリーズ黒のカミサマと白のアデプト（３）,柴嶺タカシ,660,
21,KADOKAWA,MFコミックス　アライブシリーズ探偵はもう、死んでいる。（５）,麦子／二語十ほか,671,
21,KADOKAWA,MFコミックス　アライブシリーズ楽園ノイズ（２）,杉井光／篠アキサトほか,715,
21,KADOKAWA,MFコミックス　アライブシリーズ神は遊戯に飢えている。（２）,鳥海かぴこ／細音啓ほか,748,
21,KADOKAWA,MFコミックス　アライブシリーズようこそ実力至上主義の教室へ　2年生編（２）,紗々音シア／衣笠彰梧ほか,715,
21,KADOKAWA,MFコミックス　フラッパーシリーズ千年狐（９）　～干宝「捜神記」より～,張六郎,748,
24,KADOKAWA,あすかコミックスDXペンと鍵、10％な僕等,椎名論,未定,
26,KADOKAWA,角川コミックス・エースオールラウンダーズ！！　転生したら幼女でした。家に居づらいのでおっさんと冒険に出ます（２）,ひらのせい／サエトミユウほか,未定,
26,KADOKAWA,角川コミックス・エース公女殿下の家庭教師（３）,七野りく／無糖党ほか,未定,
26,KADOKAWA,角川コミックス・エース妹に聞いてみないと（１）,渡辺伊織,未定,
