出版社,発売日,シリーズ名・書名,著者,予価,
KADOKAWA,12,ハルタコミックス,インク色の欲を吐く（１）,梅ノ木びの,未定,
KADOKAWA,12,ハルタコミックス,極東事変（４）,大上明久利,未定,
KADOKAWA,12,ハルタコミックス,ハルタ　2022-AUGUST volume 96,ハルタ編集部,未定,
KADOKAWA,12,ビームコミックス,くちべた食堂（２）,梵辛,803,
KADOKAWA,12,ビームコミックス,わたしたちの終わりと,未定,未定,
KADOKAWA,12,ビームコミックス,僕の心がチューと鳴く,胃下舌ミィ,未定,
KADOKAWA,12,ビームコミックス,王様ランキング（14）,十日草輔,未定,
KADOKAWA,12,ビームコミックス,ミューズの真髄（２）,文野紋,未定,
KADOKAWA,12,ビームコミックス,白ギャルと黒ギャルの誘惑,白石浩平,792,
KADOKAWA,17,Pomme Comics,異世界でエルフになりましたが皇帝陛下の甘やかしえっちが止まりません！（１）,兎宮卯紗,未定,
KADOKAWA,17,Pomme Comics,シンデレラにはなりません！　モブキャラ姫は淫らな悪魔に魅入られて（１）,乙黒ゆう／南咲麒麟ほか,未定,
KADOKAWA,17,Pomme Comics,任侠恋女房　親分、年甲斐もなくきゅん（１）,南香かをり／斉河燈ほか,未定,
KADOKAWA,17,フルールコミックス,異世界逃亡の相棒は恋を知らない王子様（２）,あさみ青子,未定,
KADOKAWA,17,フルールコミックス,ご褒美はいりません！,鈴木はこ,未定,
KADOKAWA,17,フロース　コミック,小動物系令嬢は氷の王子に溺愛される（２）,佐和井ムギ／翡翠ほか,未定,
KADOKAWA,17,フロース　コミック,婚約破棄の悪意は娼館からお返しします（２）,うもう／皐月めい,715,
KADOKAWA,20,青騎士コミックス,乙嫁語り〈ワイド版〉（12）,森薫,未定,
KADOKAWA,20,青騎士コミックス,波間の子どもたち,有海とよこ,未定,
KADOKAWA,20,青騎士コミックス,青騎士　第9A号,あすか編集部,未定,
KADOKAWA,20,青騎士コミックス,青騎士　第9B号,あすか編集部,未定,
KADOKAWA,20,青騎士コミックス,競煙の機械箒（１）,ヤスヒロ,未定,
KADOKAWA,20,青騎士コミックス,紅椿妃（１）,高橋拡那,1540,
KADOKAWA,20,青騎士コミックス,夜な夜な夜な（１）,柴田康平,未定,
KADOKAWA,20,青騎士コミックス,クロシオカレント（１）,こかむも,未定,
KADOKAWA,22,MFC,ドキュンサーガ（４）,いとまん,704,
KADOKAWA,22,MFC,ネタキャラ仮プレイのつもりが異世界召喚（５）,芹之由奈／シンギョウガクほか,未定,
KADOKAWA,22,MFC,魔祓井さんは僕を狩りたい（２）,鳥井まあ,未定,
KADOKAWA,22,MFC,豊田さんは悩まない。（３）,津々巳あや,未定,
KADOKAWA,22,MFC,魔法使いマナと叡痴の扉（２）,ｈｏｉｈｏｉ,未定,
KADOKAWA,22,MFC,槍の勇者のやり直し（10）,にぃと／アネコユサギほか,未定,
KADOKAWA,22,MFC,ほのぼの異世界転生デイズ　～レベルカンスト、アイテム持ち越し！　私は最強幼女です～（３）,吉元ますめ／しっぽタヌキほか,未定,
KADOKAWA,22,MFC,世界最強の後衛　～迷宮国の新人探索者～（６）,力蔵／とーわほか,未定,
KADOKAWA,22,MFC,宝くじで40億当たったんだけど異世界に移住する（12）,今井ムジイ／すずの木くろほか,未定,
KADOKAWA,22,MFC,我が弟子が最も強くてカワイイのである（３）,八月明久／赤石赫々ほか,未定,
KADOKAWA,22,MFC,俺だけレベルアップな件（９）,ＤＵＢＵ（ＲＥＤＩＣＥ　ＳＴＵＤＩＯ）／Ｃｈｕｇｏｎｇ,1034,
KADOKAWA,22,MFC,俺だけレベルアップな件（10）,ＤＵＢＵ（ＲＥＤＩＣＥ　ＳＴＵＤＩＯ）／Ｃｈｕｇｏｎｇ,1034,
KADOKAWA,22,MFC,異世界おじさん（８）,殆ど死んでいる,未定,
KADOKAWA,22,MFC,性欲の強すぎる嫁に困ってます。（３）,ｓａｋｕ,未定,
KADOKAWA,22,MFC,性欲の強すぎる嫁に困ってます。（４）,ｓａｋｕ,未定,
KADOKAWA,22,シルフコミックス,色は染まれど（３）,島田ちえ,未定,
KADOKAWA,22,シルフコミックス,スタジオカバナ（３）,馬あぐり,704,
KADOKAWA,22,シルフコミックス,愛しの国玉（５）,アッチあい,未定,
KADOKAWA,22,シルフコミックス,おかえり、初恋。（１）,かめみずとら／株式会社ナンバーナイン,未定,
KADOKAWA,23,MFコミックス　アライブシリーズ,魔技科の剣士と召喚魔王（16）,孟倫（ＳＤｗｉｎｇ）／三原みつきほか,671,
KADOKAWA,23,MFコミックス　アライブシリーズ,ウルトラなネコ,山本でいち,671,
KADOKAWA,23,MFコミックス　アライブシリーズ,神童勇者とメイドおねえさん（４）,上杉響士郎／望公太ほか,671,
KADOKAWA,23,MFコミックス　アライブシリーズ,ひまわりさん（13）,菅野マナミ,671,
KADOKAWA,23,MFコミックス　アライブシリーズ,探偵はもう、死んでいる。（５）,麦子／二語十ほか,671,
KADOKAWA,23,MFコミックス　フラッパーシリーズ,おいしい煩悩（２）,頬めぐみ,704,
KADOKAWA,23,MFコミックス　フラッパーシリーズ,FX戦士くるみちゃん（３）,でむにゃん／炭酸だいすき,704,
