出版社,発売日,シリーズ名・書名,著者,予価,
KADOKAWA,23,MFC便利屋斎藤さん、異世界に行く（８）,一智和智／桝田省治,未定,
KADOKAWA,23,MFCリコリス・リコイル　公式コミックアンソロジー　リピート,Ｓｐｉｄｅｒ　Ｌｉｌｙ,未定,
KADOKAWA,23,MFCリコリス・リコイル　公式コミックアンソロジー　リアクト,アニプレックス,未定,
KADOKAWA,23,MFC異世界闘牌記（２）,カガミツキ／和多乃原かぼれん,未定,
KADOKAWA,23,MFC塔の管理をしてみよう（15）,盧恩＆雪笠（Ｆｒｉｅｎｄｌｙ　Ｌａｎｄ）／早秋ほか,未定,
KADOKAWA,23,MFC池袋でホスト始めたら1億売れた話。,くすのき／未定,未定,
KADOKAWA,23,あすかコミックスDX千夜のキスできみを殺して（２）,壱コトコ,未定,
KADOKAWA,23,あすかコミックスDXこはるの空とアニマルライフ（１）,加藤えりこ,未定,
KADOKAWA,23,あすかコミックスDXこもれび商店街のチェンジングワンダー（２）,葵はづき,未定,
KADOKAWA,23,単行本コミックスバッテリー（10）,柚庭千景／あさのあつこ,未定,
KADOKAWA,23,魔法のiらんどコミックス／魔法のiらんどCOMICSお女ヤン！！　イケメン☆ヤンキー☆パラダイス（15）,貴里みち／岬,未定,
KADOKAWA,26,角川コミックス・エース宇宙戦艦ヤマト2199（９）,むらかわみちお／西崎義展ほか,未定,
KADOKAWA,26,角川コミックス・エースカノジョに浮気されていた俺が、小悪魔な後輩に懐かれています（２）,えーる／御宮ゆうほか,未定,
KADOKAWA,26,角川コミックス・エースアンゴルモア　元寇合戦記　博多編（７）,たかぎ七彦,未定,
KADOKAWA,26,角川コミックス・エース小説　機動戦士ガンダム　水星の魔女（１）,高島雄哉／矢立肇ほか,未定,
KADOKAWA,26,角川コミックス・エース機動戦士ガンダム　ジオンの再興　レムナント・ワン（２）,近藤和久／矢立肇ほか,704,
KADOKAWA,26,角川コミックス・エース機動戦士ガンダムSEED ECLIPSE（２）,曽我篤士／ＳＯＷほか,未定,
KADOKAWA,26,角川コミックス・エースフェイト／エクストラ　CCC FoxTail（11）,たけのこ星人／ＴＹＰＥ－ＭＯＯＮほか,未定,
KADOKAWA,26,角川コミックス・エース義妹生活（２）,三河ごーすと／奏ユミカほか,未定,
KADOKAWA,26,角川コミックス・エースクラスの大嫌いな女子と結婚することになった。（３）,もすこんぶ／天乃聖樹,未定,
