出版社,発売日,シリーズ名・書名,著者,予価,
KADOKAWA,9,ドラゴンコミックスエイジ,幽活。 ～オバケになった俺が憧れの女の子にイタズラする～（1）,未定,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,異種族レビュアーズ（9）,天原／masha,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,淫獄団地（5）,丈山雄為／搾精研究所,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,美人女上司滝沢さん（7）,やんBARU,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,天獄で悪魔がボクを魅惑する（2）,銀河味めてお,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,炎魔 火魅女,未定,未定,
KADOKAWA,10,角川コミックス・エース,スキルがなければレベルを上げる（7） ～99がカンストの世界でレベル800万からスタート～,岡沢六十四／倉橋ユウス,未定,
KADOKAWA,10,角川コミックス・エース,クラス最安値で売られた俺は、実は最強パラメーター（5）,RYOMA／カンブリア爆発太郎ほか,未定,
KADOKAWA,10,角川コミックス・エース,回復術士のやり直し（13）,月夜涙／羽賀ソウケンほか,未定,
KADOKAWA,10,角川コミックス・エース,明日もまた勇者のとなり（1）,梶井スパナ,未定,
KADOKAWA,10,角川コミックス・エース,僕は七度目の人生で、怪物姫を手に入れた（1）,宮崎順／サンボンほか,未定,
KADOKAWA,10,単行本コミックス,マンガで分かる！ Fate/Grand Order（4）,リヨ／TYPE-MOON,未定,
KADOKAWA,10,電撃コミックスNEXT,魔法科高校の劣等生 動乱の序章編（1）,佐島勤／飛口芽衣ほか,未定,
KADOKAWA,10,電撃コミックスNEXT,Unnamed Memory（5）,古宮九時／越水ナオキほか,未定,
KADOKAWA,12,B's-LOG COMICS,歴史に残る悪女になるぞ 悪役令嬢になるほど王子の溺愛は加速するようです！（4）,保志あかり／大木戸いずみほか,未定,
KADOKAWA,12,B's-LOVEY COMICS,嫌だと言ってモラトリアム,Hiカロリー,未定,
KADOKAWA,12,B's-LOVEY COMICS,腐男子さんと泣き虫君のストロベリーライフ,淀川ゆお／ボーンデジタル編集部,未定,
KADOKAWA,12,ハルタコミックス,ハルタ 2023-AUGUST volume 106,ハルタ編集部,未定,
KADOKAWA,12,ハルタコミックス,インク色の欲を吐く（2）,梅ノ木びの,未定,
KADOKAWA,12,ハルタコミックス,ナッちゃんはテンションで水深が変わる,中原ふみ,未定,
KADOKAWA,12,ハルタコミックス,瑠璃の宝石（4）,渋谷圭一郎,未定,
KADOKAWA,12,ハルタコミックス,珍獣のお医者さん（1）,二宮香乃,未定,
KADOKAWA,12,ビームコミックス,王様ランキング（17）,十日草輔,未定,
KADOKAWA,12,ビームコミックス,オール・ザ・マーブルズ！（4）,伊図透,未定,
KADOKAWA,12,ビームコミックス,ゴクシンカ（2）,ピエール手塚,未定,
KADOKAWA,12,ビームコミックス,2歳差の幼なじみ（2）,イトノコ,未定,
KADOKAWA,12,単行本コミックス,恋と呼ぶには青すぎる（2）,真くん,未定,
KADOKAWA,12,単行本コミックス,俺の×××はいらないらしい（1）,プルちょめ,未定,
KADOKAWA,16,MFC,じいさんばあさん若返る（7）,新挑限,未定,
KADOKAWA,16,MFC,エンプレスエイジ ～闇社会の主役は我々だ！～（2）,せらみかる／ゾム,未定,
KADOKAWA,16,MFC,酔いとゆくすえ ～酒村ゆっけ、小説コミカライズ短編集～（上）,夜の羊雲／酒村ゆっけ、,未定,
KADOKAWA,16,Pomme Comics,とりあえず、ヤりましょう（1）,チドリアシ／道端家杜ほか,未定,
KADOKAWA,16,フルールコミックス,羞恥×敏感BL コミックアンソロジー,フルール編集部,未定,
KADOKAWA,16,フルールコミックス,中原くんと宮田部長（1）,やぎり茂,未定,
KADOKAWA,16,フルールコミックス,中原くんと宮田部長（2）,やぎり茂,未定,
KADOKAWA,16,フルールコミックス,ただの友達じゃなくなる瞬間（2）,なつきゆか,未定,
KADOKAWA,16,フルールコミックス,ボーイズ・バッド・ロマンス！ ハッピーウエディング,ハシモトミツ,未定,
KADOKAWA,16,フルールコミックス,年下のイケメン同僚にハメられまして！？,渦井,未定,
KADOKAWA,16,フロース コミック,100年後に転生した私、前世の従騎士に求婚されました 陛下は私が元・王女だとお気づきでないようです（2）,史々花ハトリ／一分咲ほか,未定,
KADOKAWA,16,フロース コミック,わたくしのことが大嫌いな義弟が護衛騎士になりました（1）,未定／夕日ほか,未定,
KADOKAWA,16,フロース コミック,転生悪役令嬢ですが、教師になって落ちこぼれ生徒たちに魔法でお仕置きしちゃいます！（3）,榎戸埜恵／涙鳴,未定,
KADOKAWA,16,フロース コミック,イケメンメイドは悪役令嬢を救う（3）,夕木有,未定,
KADOKAWA,19,青騎士コミックス,青騎士 第15A号,あすか編集部,未定,
KADOKAWA,19,青騎士コミックス,青騎士 第15B号,あすか編集部,未定,
KADOKAWA,19,青騎士コミックス,狼の口 revised edition（3）,久慈光久,1122,
KADOKAWA,19,青騎士コミックス,狼の口 revised edition（4）,久慈光久,1199,
KADOKAWA,19,青騎士コミックス,ムシ・コミュニケーター（3）,ムネヘロ,未定,
KADOKAWA,19,青騎士コミックス,夜さんの愛しの晩餐,緒崎カホ,未定,
KADOKAWA,21,シルフコミックス,愛しの国玉（6）,アッチあい,未定,
KADOKAWA,21,シルフコミックス,おかえり、初恋。（2）,かめみずとら,未定,
KADOKAWA,21,シルフコミックス,スタジオカバナ（5）,馬あぐり,未定,
KADOKAWA,21,シルフコミックス,次はさせてね はじめて（2）,榎木りか,未定,
KADOKAWA,21,シルフコミックス,デスゲーム漫画の黒幕殺人鬼の妹に転生して失敗した（4）,ぺぷ／稲井田そう,未定,
KADOKAWA,21,シルフコミックス,四畳半王妃（1） ～マリー・アントワネット 転生王妃のやり直し～,花園あずき／未定,未定,
KADOKAWA,22,MFC,反逆コメンテーターエンドウさん（2）,洋介犬,未定,
KADOKAWA,22,MFコミックス アライブシリーズ,ライアー・ライアー（4）,幸奈ふな／久追遥希ほか,715,
KADOKAWA,22,MFコミックス アライブシリーズ,俺のお嫁さん、変態かもしれない（2）,神楽武志／両角潤香ほか,715,
KADOKAWA,22,MFコミックス アライブシリーズ,Re:ゼロから始める異世界生活 第四章 聖域と強欲の魔女（8）,花鶏ハルノ／相川有ほか,715,
KADOKAWA,22,MFコミックス アライブシリーズ,ダンジョンの幼なじみ（3）,久真やすひさ,715,
KADOKAWA,22,MFコミックス アライブシリーズ,ガールズ＆パンツァー もっとらぶらぶ作戦です！（20）,弐尉マルコ／ガールズ＆パンツァー製作委員会,715,
KADOKAWA,22,MFコミックス フラッパーシリーズ,はなものがたり（3）,schwinn,748,
KADOKAWA,23,MFC,無敵の万能要塞で快適スローライフをおくります ～フォートレス・ライフ～（2）,齋島ユウキ／鈴木竜一ほか,未定,
KADOKAWA,23,MFC,セーブを忘れないで（1）,IZUKI／漫漫漫画,未定,
KADOKAWA,23,MFC,無職転生 ～ロキシーだって本気です～（12）,石見翔子／理不尽な孫の手ほか,未定,
KADOKAWA,23,MFC,俺だけデイリーミッションがあるダンジョン生活（1）,游紗吹香／ムサシノ・F・エナガほか,未定,
KADOKAWA,23,MFC,ダンジョンに潜むヤンデレな彼女に俺は何度も殺される（1）,野村エージ／北川ニキタほか,未定,
KADOKAWA,23,MFC,海龍改改：消えたサルタヒコノ目,張国立／韓采君ほか,未定,
KADOKAWA,23,MFC,蛇神様と長耳の巫女（2）,okamura,未定,
KADOKAWA,23,MFC,雷帝の軌跡 ～俺だけ使える【雷魔術】で異世界最強に！～（1）,喜来ユウ／平成オワリほか,未定,
KADOKAWA,23,MFC,超てんちゃん！ NEEDY GIRL OVERDOSE 公式アンソロジー（2）,未定,未定,
KADOKAWA,23,MFC,宝くじで40億当たったんだけど異世界に移住する（14）,今井ムジイ／すずの木くろほか,未定,
KADOKAWA,23,MFC,異世界チートサバイバル飯（11）,山田モジ美／赤石赫々ほか,未定,
KADOKAWA,23,MFC,志乃と恋,千種みのり,未定,
KADOKAWA,23,MFC,くたびれ中年と星詠みの少女（2） 「加護なし」と笑われたオッサンですが、実は最強の魔導具使いでした,大槻俊也／二八乃端月ほか,未定,
KADOKAWA,24,あすかコミックスDX,結婚したい竜宮さんは上陸しました（1）,朱子すず,未定,
KADOKAWA,24,あすかコミックスDX,Outsiders（4）,叶輝,未定,
